Component,References,Value,Footprint,Quantity Per PCB,Digikey PN,PN,Part Description,Config
1,C1-C2 C5-C6 C59,0.01uF,C_0805_2012Metric,5,399-6466-1-ND‎,C0805V103KCRACTU,CAP CER 10000PF 500V X7R 0805,
2,C4 C8-C9 C11 C13-C14 C28-C40 C50-C51 C58,0.1uF,C_0603_1608Metric,22,311-1088-2-ND,CC0603KRX7R7BB104,CAP CER 0.1UF 16V X7R 0603,
3,C3 C7,0.1uF,C_1206_3216Metric,2,445-14838-1-ND,C3216X7T2W104M160AA,CAP CER 0.1UF 450V X7T 1206,
4,C20,100pF,C_0603_1608Metric,1,‎311-1069-1-ND‎,CC0603JRNPO9BN101‎,CAP CER 100PF 50V C0G/NPO 0603,
5,C18-C19,100uF,CP_Elec_6.3x5.9,2,399-6698-1-ND,EEV107M025A9HAA,CAP ALUM 100UF 20% 25V SMD,
6,C12 C15-C17,10nF,C_0603_1608Metric,4,1276-1922-1-ND,CL10B103KB8NFNC,CAP CER 10000PF 50V X7R 0603,
7,C61-C62,16pF,C_0603_1608Metric,2,1292-1490-1-ND,0603N160J500CT,CAP CER 16PF 50V C0G/NP0 0603,
8,C42-C49,1nF,C_0603_1608Metric,8,311-4063-1-ND,CC0603KRX7R7BB102,CAP CER 1000PF 16V X7R 0603,
9,C10 C21 C23 C60,1uF,C_0603_1608Metric,4,1276-6524-2-ND,CL10B105MO8NNWC,CAP CER 1UF 16V X7R 0603,
10,C22,1uF,C_2220_5650Metric_Pad1.97x5.40mm_HandSolder,1,445-7777-1-ND,C5750X7T2W105K250KA,CAP CER 1UF 450V X7T 2220,
11,C24-C25 C41 C54-C57,4.7uF,C_0603_1608Metric,7,490-10481-1-ND,GRM188R61C475KAAJD,CAP CER 4.7UF 16V X5R 0603,
12,D65-D66,180v,D_SMA,2,3SMAJ5955B-TPMSCT-ND,3SMAJ5955B-TP,DIODE ZENER 180V 3W DO214AC,
13,D67,"PMEG3030EP,115",D_SOD-128,1,1727-5324-1-ND,"PMEG3030EP,115",DIODE SCHOTTKY 30V 3A CFP5,
14,D1-D64,RRE04EA6DFH,SOT-23-5,64,RRE04EA6DFHCT-ND,RRE04EA6DFH,RECTIFYING DIODE,
15,J9,Barrel_Jack_Switch,BARREL_JACK,1,CP-002AHPJTR-ND,PJ-002AH,CONN PWR JACK 2X5.5MM SOLDER,
16,J1-J2,Conn_02x32_Odd_Even,SAMTEC-FTS-132-03-X-DV,2,,FTS-132-03-F-DV,CONN HEADER SMD 64POS 1.27MM,
17,J3,USB_B_Micro,USB_Micro-B_Molex-105017-0001,1,WM1399CT-ND,1050170001,CONN RCPT USB2.0 MICRO B SMD R/A,
18,Q5,DMN62D0U-7,SOT-23,1,DMN62D0U-7DICT-ND,DMN62D0U-7,MOSFET N-CH 60V 380MA SOT23,
19,Q6,FDD306P,TO-252-2,1,FDD306PCT-ND,FDD306P,MOSFET P-CH 12V 6.7A TO252,
20,Q7,Q_NMOS_GDS,SOT-223-3,1,IPN60R2K1CEATMA1CT-ND,IPN60R2K1CEATMA1,MOSFET NCH 600V 3.7A SOT223,
21,Q1-Q4,SSM3J328R,SOT-23,4,IRLML6244TRPBFCT-ND,IRLML6244TRPBF,MOSFET N-CH 20V 6.3A SOT23,
22,R1 R5-R6 R41,0,R_0603_1608Metric,4,311-0.0GRCT-ND,RC0603JR-070RL,RES SMD 0 OHM JUMPER 1/10W 0603,
23,R23 R26,1.5k,R_0603_1608Metric,2,P1.5KDBCT-ND,ERA-3AEB152V,RES SMD 1.5K OHM 0.1% 1/10W 0603,
24,R43,100k,R_0603_1608Metric,1,‎RHM100KADCT-ND‎,‎ESR03EZPF1003‎,RES SMD 100K OHM 1% 1/4W 0603,
25,R10-R13 R45-R47 R58 R64 R70,10k,R_0603_1608Metric,10,311-10KGRCT-ND,RC0603JR-0710KL,RES SMD 10K OHM 5% 1/10W 0603,
26,R55-R56 R61-R62,150,R_0603_1608Metric,4,311-150HRCT-ND‎,‎RC0603FR-07150RL‎,RES SMD 150 OHM 1% 1/10W 0603,
27,R16 R18 R69,15k,R_0603_1608Metric,3,P15KDBCT-ND‎,ERA-3AEB153V‎,RES SMD 15K OHM 0.1% 1/10W 0603,
